Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
01-01-2018 00:00,246,,13.8,51.66,21.78,,1.94,53.84,30.06,0.44,3.29,0.71,361,Very Poor
01-01-2018 01:00,194,,6.57,38.46,13.97,,1.79,59.06,41.68,0.44,3.29,1.07,352,Very Poor
01-01-2018 02:00,170,,5.66,34.46,12.4,,1.61,58.56,52.82,0.35,3.29,0.71,352,Very Poor
01-01-2018 03:00,145.75,,4.62,28.65,10.2,,1.43,57.7,63.97,0.35,3.29,0.59,352,Very Poor
01-01-2018 04:00,124.5,,3.79,22.7,8.2,,1.23,58.77,75.17,0.35,3.19,0.59,352,Very Poor
01-01-2018 05:00,117.5,,3.69,24.49,8.58,,1.37,56.13,63.43,0.35,3.08,0.59,351,Very Poor
01-01-2018 06:00,119.25,,4.12,22.7,8.35,,1.32,54.77,66.54,0.35,2.98,0.47,351,Very Poor
01-01-2018 07:00,124.25,,3.45,26.09,8.83,,1.34,53.48,28.18,0.35,3.08,0.47,351,Very Poor
01-01-2018 08:00,137,,5.8,31.84,11.75,,1.57,53.34,54.97,0.35,2.98,0.24,352,Very Poor
01-01-2018 09:00,165.75,,10.18,39.74,16.47,,1.54,55.77,43.66,0.35,3.08,0.47,353,Very Poor
01-01-2018 10:00,179.5,,15.88,45.34,21.38,,1.64,54.91,39.27,0.35,3.08,0.47,355,Very Poor
01-01-2018 11:00,189.25,,16.95,30.71,36.5,,1.08,28.17,33.43,0.35,3.29,0.71,356,Very Poor
01-01-2018 12:00,196.5,,18.16,44.37,22.53,,1.77,54.55,44.04,0.35,3.29,0.83,355,Very Poor
01-01-2018 13:00,199,,21.51,50.58,26.13,,1.92,59.77,51.91,0.35,3.29,0.95,354,Very Poor
01-01-2018 14:00,199.5,,21.1,57.51,27.8,,1.98,45.76,59.79,0.35,2.47,1.19,353,Very Poor
01-01-2018 15:00,689.5,,17.09,57.51,25.25,,1.98,43.9,78.43,0.35,2.06,1.42,369,Very Poor
01-01-2018 16:00,468,,9.08,53.15,19.3,,1.85,43.97,85.34,0.44,2.06,1.54,378,Very Poor
01-01-2018 17:00,447.75,,13.43,75.9,27.78,,2.32,39.18,54.38,0.35,1.54,1.19,386,Very Poor
01-01-2018 18:00,533.25,,42.04,103.37,52.25,,4.19,45.05,15.48,0.7,1.95,1.19,395,Very Poor
01-01-2018 19:00,385,,82.98,97.72,75.65,,6.75,51.91,14.57,0.96,2.67,2.25,399,Very Poor
01-01-2018 20:00,646,,152.93,81.85,114,,8.53,53.91,11.41,1.05,3.5,2.96,412,Severe
01-01-2018 21:00,537,,108.64,54.07,79.95,,8.16,53.34,11.57,1.05,4.32,3.56,421,Severe
01-01-2018 22:00,,,,,,,,,,,,,423,Severe
01-01-2018 23:00,,,,,,,,,,,,,425,Severe
02-01-2018 00:00,,,,,,,,,,,,,426,Severe
02-01-2018 01:00,,,,,,,,,,,,,430,Severe
02-01-2018 02:00,,,,,,,,,,,,,435,Severe
02-01-2018 03:00,,,,,,,,,,,,,441,Severe
02-01-2018 04:00,,,,,,,,,,,,,449,Severe
02-01-2018 05:00,,,,,,,,,,,,,458,Severe
02-01-2018 06:00,,,,,,,,,,,,,,
02-01-2018 07:00,,,,,,,,,,,,,,
02-01-2018 08:00,,,,,,,,,,,,,,
02-01-2018 09:00,,,,,,,,,,,,,,
02-01-2018 10:00,,,,,,,,,,,,,,
02-01-2018 11:00,168.25,,,,,,0,,17.79,0.44,2.98,0.83,,
02-01-2018 12:00,203.75,,11.12,18.74,11.6,,2.22,47.48,24.43,0.35,2.78,0.95,,
02-01-2018 13:00,238.25,,10.05,19.72,11.2,,2.25,34.96,28.82,0.7,2.06,1.66,,
02-01-2018 14:00,240,,10.52,22.85,12.28,,2.27,33.82,39.22,0.7,2.36,1.42,,
02-01-2018 15:00,218.5,,12.5,28.19,14.9,,2.48,33.32,38.73,0.44,2.78,1.42,,
02-01-2018 16:00,205.5,,15.14,25.93,15.9,,2.67,34.61,32.52,0.61,3.19,1.66,,
02-01-2018 17:00,226,,20.2,23.83,18.45,,2.88,37.54,18.16,0.7,2.78,2.25,,
02-01-2018 18:00,231.5,,17.65,23.42,16.77,,2.46,37.82,15.22,0.7,3.08,2.84,,
02-01-2018 19:00,245.5,,25.12,24.55,21.58,,3.58,38.18,11.57,0.7,3.39,2.49,,
02-01-2018 20:00,260,,20.33,23.26,18.4,,2.89,37.61,11.63,0.7,3.7,2.84,,
02-01-2018 21:00,246,,19.83,21.46,17.58,,2.83,35.03,11.52,0.7,3.6,2.13,,
02-01-2018 22:00,249,,22.31,19.82,18.7,,3.05,33.32,10.18,0.7,3.7,2.37,,
02-01-2018 23:00,,,,,,,,,,,,,,
03-01-2018 00:00,,,,,,,,,,,,,,
03-01-2018 01:00,,,,,,,,,,,,,,
03-01-2018 02:00,,,,,,,,,,,,,,
03-01-2018 03:00,,,,,,,,,,,,,,
03-01-2018 04:00,,,,,,,,,,,,,,
03-01-2018 05:00,,,,,,,,,,,,,,
